"","title","genre","series_movie"
"584","Le Tournoi","Documentary","Movie"
"585","The House Arrest of Us","Comedy","Series"
"586","The House Arrest of Us","Romance","Series"
"587","She is King","Musical","Movie"
"588","How to Eliminate My Teacher","Mystery","Series"
"589","How to Eliminate My Teacher","Thriller","Series"
"590","Critical Thinking","Drama","Movie"
"591","The House That Jack Built","Crime","Movie"
"592","The House That Jack Built","Drama","Movie"
"593","The House That Jack Built","Horror","Movie"
"594","The House That Jack Built","Thriller","Movie"
"595","Trolls World Tour","Animation","Movie"
"596","Trolls World Tour","Adventure","Movie"
"597","Trolls World Tour","Comedy","Movie"
"598","Trolls World Tour","Family","Movie"
"599","Trolls World Tour","Fantasy","Movie"
"600","Trolls World Tour","Musical","Movie"
"601","Ace Attorney","Comedy","Series"
"602","Ace Attorney","Crime","Series"
"603","Ace Attorney","Drama","Series"
"604","Ace Attorney","Mystery","Series"
"605","Ace Attorney","Thriller","Series"
"606","We Are: The Brooklyn Saints","Documentary","Series"
"607","We Are: The Brooklyn Saints","Sport","Series"
"608","The Dig","Thriller","Movie"
"609","Below Zero","Short","Movie"
"610","Below Zero","Comedy","Movie"
"611","Domestique","Short","Movie"
"612","Domestique","Comedy","Movie"
"613","Alone","Drama","Movie"
"614","Alone","Romance","Movie"
"615","June & Kopi","Fantasy","Movie"
"616","June & Kopi","Horror","Movie"
"617","Yolki 1914","Comedy","Movie"
"618","Sonic the Hedgehog","Action","Movie"
"619","Sonic the Hedgehog","Adventure","Movie"
"620","Sonic the Hedgehog","Comedy","Movie"
"621","Sonic the Hedgehog","Sci-Fi","Movie"
"622","You Should Have Left","Drama","Movie"
"623","You Should Have Left","Horror","Movie"
"624","You Should Have Left","Mystery","Movie"
"625","You Should Have Left","Thriller","Movie"
"626","Partners: The Movie III","Crime","Movie"
"627","Partners: The Movie III","Drama","Movie"
"628","Partners: The Movie II","Drama","Movie"
"629","Partners: The Movie","Drama","Movie"
"630","Partners: The Movie IV","Thriller","Movie"
"631","Partners: The Movie IV","Mystery","Movie"
"632","Partners: The Movie IV","Crime","Movie"
"633","Sober Companion","Comedy","Series"
"634","National Street","Comedy","Movie"
"635","National Street","Drama","Movie"
